位置,编号,姓名,身高,身高米,体重磅,体重kg,出生日期 (年–月–日),来自
后卫,7,迈克尔·卡特-威廉姆斯,6英尺5英寸,1.96,190磅,86,1991–10–10,锡拉丘兹大学
前锋,25,韦斯·阿温杜,6英尺6英寸,1.98,195磅,88,1994–12–20,堪萨斯城州立大学
摇摆人,10,埃文·富尼耶,6英尺7英寸,2.01,205磅,93,1992–10–29,法国
摇摆人,35,梅尔文·佛雷泽,6英尺6英寸,1.98,200磅,91,1996–08–30,杜兰大学
后卫,13,B·J·约翰逊 (TW),6英尺7英寸,2.01,200磅,91,1995–12–21,拉塞尔大学
前锋,1,乔纳森·艾萨克,6英尺10英寸,2.08,210磅,95,1997–10–03,佛罗里达州立大学
前锋,11,阿米尔·杰弗森,6英尺9英寸,2.06,222磅,101,1993–05–07,杜克大学
后卫,4,约什·麦格提 (TW),6英尺1英寸,1.85,160磅,73,1989–11–28,阿拉巴马大学亨茨维尔分校
前锋,2,艾尔-法鲁克·阿米努,6英尺8英寸,2.03,220磅,100,1990–09–21,维克森林大学
摇摆人,31,泰伦斯·罗斯,6英尺7英寸,2.01,206磅,93,1991–02–05,华盛顿大学
中锋,9,尼古拉·武切维奇,7英尺0英寸,2.13,260磅,118,1990–10–24,南加州大学
后卫,20,马克尔·富尔茨,6英尺3英寸,1.91,209磅,95,1998–05–29,华盛顿大学
后卫,3,布拉德利·比尔,6英尺5英寸,1.96,207磅,94,1993–06–28,佛罗里达大学
前锋,6,小特洛伊·布朗,6英尺7英寸,2.01,215磅,98,1999–07–28,奥勒冈大学
中锋,13,托马斯·布莱恩特,6英尺10英寸,2.08,248磅,112,1997–07–31,印地安那大学
前锋,8,八村·垒,6英尺8英寸,2.03,230磅,104,1998–08–02,贡扎加大学
中锋,28,伊恩·马辛米,6英尺11英寸,2.11,262磅,119,1986–11–05,法国
前锋,42,戴维斯·贝坦斯,6英尺10英寸,2.08,225磅,102,1992–12–12,拉脱维亚
后卫,12,杰罗姆·罗宾逊,6英尺4英寸,1.93,190磅,86,1997–02–22,波士顿大学
摇摆人,1,阿德米拉·史科菲尔德,6英尺5英寸,1.96,241磅,109,1997–03–30,田纳西大学
前锋,19,乔纳森·威廉姆斯,6英尺9英寸,2.06,228磅,103,1995–05–22,贡扎加大学
后卫,24,盖里森·马修斯,6英尺5英寸,1.96,215磅,98,1996–10–24,北佛罗里达社群学院
中锋,21,莫里茨·华格纳,6英尺11英寸,2.11,245磅,111,1997–04–26,密歇根大学
后卫,17,艾萨克·邦加,6英尺8英寸,2.03,180磅,82,1999–08–11,德国
后卫,4,加里·佩顿,6英尺3英寸,1.91,195磅,88,1992–01–12,俄勒冈大学
后卫,14,伊什·史密斯,6英尺0英寸,1.83,175磅,79,1988–05–07,威克森林大学
后卫,2,约翰·沃尔 (C),6英尺4英寸,1.93,210磅,95,1990–09–06,肯塔基大学
后卫,5,沙巴兹·奈皮尔,6英尺0英寸,1.83,175磅,79,1991–07–14,康涅狄格
中/前锋,5,Anžejs·Pasečņiks,7英尺2英寸,2.18,229磅,104,1995–12–20,德国
